BÁO CÁO KIỂM TRA TỌA ĐỘ CSV
Tổng số file lỗi: 12628
================================================================================
Split      | Video Folder                                       | File                 | Rows   | Issue
--------------------------------------------------------------------------------------------------------------
train      | 01April_2010_Thursday_heute-6703                   | images0082.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_heute-6703                   | images0083.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_heute-6703                   | images0084.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_heute-6703                   | images0085.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_heute-6712                   | images0089.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_heute-6712                   | images0090.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4321              | images0051.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4321              | images0053.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4321              | images0054.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4322              | images0040.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4323              | images0007.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4323              | images0090.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4324              | images0004.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4324              | images0006.csv       | 543    | Thiếu dòng
train      | 01April_2010_Thursday_tagesschau-4333              | images0008.csv       | 543    | Thiếu dòng
train      | 01August_2011_Monday_heute-4851                    | images0016.csv       | 543    | Thiếu dòng
train      | 01August_2011_Monday_heute-4858                    | images0081.csv       | 543    | Thiếu dòng
train      | 01August_2011_Monday_heute-4858                    | images0082.csv       | 543    | Thiếu dòng
train      | 01August_2011_Monday_heute-4859                    | images0028.csv       | 543    | Thiếu dòng
train      | 01August_2011_Monday_heute-4868                    | images0042.csv       | 543    | Thiếu dòng
train      | 01August_2011_Monday_heute-4868                    | images0044.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0096.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0104.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0105.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0148.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0187.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0189.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0190.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0191.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0202.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0203.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0204.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3056                | images0205.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0003.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0010.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0011.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0012.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0013.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0085.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0087.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0088.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3057                | images0089.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3059                | images0024.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3059                | images0025.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3059                | images0026.csv       | 543    | Thiếu dòng
train      | 01December_2011_Thursday_heute-3059                | images0133.csv       | 543    | Thiếu dòng
