landmark_name,type,x,y,z,visibility
NOSE,pose,0.511073887348175,0.2335235476493835,-1.104249358177185,0.9997623562812804
LEFT_EYE_INNER,pose,0.5417423248291016,0.1939204931259155,-1.0610835552215576,0.9997184872627258
LEFT_EYE,pose,0.5589404106140137,0.1933950781822204,-1.0613399744033811,0.9996944665908812
LEFT_EYE_OUTER,pose,0.5729364156723022,0.1931012868881225,-1.0612486600875854,0.9996521472930908
RIGHT_EYE_INNER,pose,0.4807524681091308,0.1968929171562194,-1.038649559020996,0.9997138381004332
RIGHT_EYE,pose,0.4626227617263794,0.1976871490478515,-1.0383929014205933,0.9996932744979858
RIGHT_EYE_OUTER,pose,0.4475783705711365,0.1991145610809326,-1.0386881828308103,0.9996992349624634
LEFT_EAR,pose,0.6031714081764221,0.2083094716072082,-0.6466060876846313,0.9996765851974488
RIGHT_EAR,pose,0.4312704801559448,0.2198665738105774,-0.5287289619445801,0.9996581077575684
MOUTH_LEFT,pose,0.5515890717506409,0.2794893980026245,-0.9424920082092284,0.999908685684204
MOUTH_RIGHT,pose,0.476412296295166,0.2842682600021362,-0.9101040363311768,0.9998940229415894
LEFT_SHOULDER,pose,0.7306671142578125,0.4290817379951477,-0.4101874828338623,0.9996578693389891
RIGHT_SHOULDER,pose,0.3323358297348022,0.4312226176261902,-0.1673763692378997,0.9997162222862244
LEFT_ELBOW,pose,0.8128960132598877,0.793119490146637,-0.6524688005447388,0.9826132655143738
RIGHT_ELBOW,pose,0.2296022027730941,0.7634170651435852,-0.6636474132537842,0.995633065700531
LEFT_WRIST,pose,0.6189951300621033,0.6796563863754272,-1.155921459197998,0.986853837966919
RIGHT_WRIST,pose,0.4355367124080658,0.6108406782150269,-1.6268093585968018,0.992698609828949
LEFT_PINKY,pose,0.566141664981842,0.6611234545707703,-1.2794309854507446,0.941743552684784
RIGHT_PINKY,pose,0.4920458495616913,0.5843417644500732,-1.7781085968017578,0.966477394104004
LEFT_INDEX,pose,0.5562242865562439,0.6142304539680481,-1.212761402130127,0.9316523671150208
RIGHT_INDEX,pose,0.5054749250411987,0.5507832765579224,-1.7153189182281494,0.9606376886367798
LEFT_THUMB,pose,0.5630232691764832,0.6245201230049133,-1.1308318376541138,0.9380198121070862
