landmark_name,type,x,y,z,visibility
NOSE,pose,0.5244370698928833,0.2053503990173339,-1.0083308219909668,0.9999641180038452
LEFT_EYE_INNER,pose,0.5535770654678345,0.1758947968482971,-0.9377263188362122,0.9999427795410156
LEFT_EYE,pose,0.5708030462265015,0.1767884492874145,-0.9377968907356262,0.9999459981918336
LEFT_EYE_OUTER,pose,0.5842779874801636,0.1779507994651794,-0.9373104572296144,0.9999325275421144
RIGHT_EYE_INNER,pose,0.4958535432815552,0.1745585203170776,-0.951850950717926,0.9999579191207886
RIGHT_EYE,pose,0.4774375557899475,0.1756606101989746,-0.9518997073173524,0.9999650716781616
RIGHT_EYE_OUTER,pose,0.459553986787796,0.1776566505432129,-0.9526387453079224,0.9999618530273438
LEFT_EAR,pose,0.6142997145652771,0.1986162662506103,-0.4778982996940613,0.9999090433120728
RIGHT_EAR,pose,0.4366901814937591,0.2039522528648376,-0.5428083539009094,0.9999723434448242
MOUTH_LEFT,pose,0.5641236901283264,0.2534681558609009,-0.8362656235694885,0.9999775886535645
MOUTH_RIGHT,pose,0.4896323084831238,0.2552816867828369,-0.854081392288208,0.9999887943267822
LEFT_SHOULDER,pose,0.7538708448410034,0.4452751278877258,-0.1281719952821731,0.9999423027038574
RIGHT_SHOULDER,pose,0.3207844197750091,0.4610797762870788,-0.3237197399139404,0.9999047517776488
LEFT_ELBOW,pose,0.8559343814849854,0.7841669321060181,-0.1553550660610199,0.9920348525047302
RIGHT_ELBOW,pose,0.2193739712238311,0.8066605925559998,-0.5171197652816772,0.9903468489646912
LEFT_WRIST,pose,0.7397317290306091,0.8313347101211548,-0.8283707499504089,0.9863522052764891
RIGHT_WRIST,pose,0.3827253580093384,0.8617961406707764,-1.2698726654052734,0.9483435750007628
LEFT_PINKY,pose,0.68657386302948,0.8708972334861755,-0.9961104393005372,0.9596354365348816
RIGHT_PINKY,pose,0.4542755782604217,0.8966588973999023,-1.4263468980789185,0.8814058303833008
LEFT_INDEX,pose,0.6680909395217896,0.8275801539421082,-1.0089941024780271,0.9628951549530028
RIGHT_INDEX,pose,0.4736912548542022,0.8522781133651733,-1.4588338136672974,0.8890777826309204
LEFT_THUMB,pose,0.6721326112747192,0.8084432482719421,-0.842311441898346,0.9528501629829408
RIGHT_THUMB,pose,0.4571985602378845,0.8326283097267151,-1.284861445426941,0.8794522881507874
LEFT_HIP,pose,0.6994930505752563,0.97334086894989,0.0935961231589317,0.9386560916900636
RIGHT_HIP,pose,0.4312168061733246,0.9952803254127502,-0.0912360325455665,0.9473705291748048
LEFT_KNEE,pose,0.7208360433578491,1.382323980331421,0.2633775472640991,0.074585311114788
RIGHT_KNEE,pose,0.4280762672424316,1.3915342092514038,0.0389055088162422,0.0462132729589939
LEFT_ANKLE,pose,0.7241183519363403,1.7170186042785645,0.8773036599159241,0.0091694798320531
RIGHT_ANKLE,pose,0.4413421154022217,1.72916841506958,0.471834123134613,0.0080339703708887
LEFT_HEEL,pose,0.7322100400924683,1.7675914764404297,0.9071488380432128,0.0123462723568081
RIGHT_HEEL,pose,0.4231213927268982,1.7795801162719729,0.4952671825885772,0.0133170448243618
LEFT_FOOT_INDEX,pose,0.6977680921554565,1.833579063415528,0.4059430062770843,0.0052823233418166
RIGHT_FOOT_INDEX,pose,0.5138325691223145,1.8376500606536863,-0.0556689836084842,0.008111554197967
FACE_0,face,0.519429087638855,0.2203239351511001,-0.0308679230511188,
FACE_1,face,0.5188862085342407,0.1909829378128051,-0.0377805680036544,
FACE_2,face,0.5201746225357056,0.2034730166196823,-0.0249407142400741,
FACE_3,face,0.5082593560218811,0.1740060150623321,-0.0206856969743967,
FACE_4,face,0.517592191696167,0.1837978810071945,-0.0378190800547599,
FACE_5,face,0.5158494114875793,0.1770115792751312,-0.0319939777255058,
FACE_6,face,0.5113472938537598,0.1623513102531433,-0.004833489190787,
FACE_7,face,0.454388290643692,0.1706763207912445,0.022041643038392,
FACE_8,face,0.5081701278686523,0.1491651535034179,0.0061218864284455,
FACE_9,face,0.5065712928771973,0.1404192745685577,0.0091921566054224,
FACE_10,face,0.5001466870307922,0.1084084436297416,0.0315156280994415,
FACE_11,face,0.5198904871940613,0.2239062935113906,-0.0310646388679742,
FACE_12,face,0.5206792950630188,0.2281507849693298,-0.0297290422022342,
FACE_13,face,0.5214409232139587,0.2313484698534011,-0.0279095936566591,
FACE_14,face,0.5245023369789124,0.241012766957283,-0.0254334453493356,
FACE_15,face,0.524737536907196,0.2441504299640655,-0.0279397405683994,
FACE_16,face,0.5252686142921448,0.2482369840145111,-0.0305274333804845,
FACE_17,face,0.5261228084564209,0.252971351146698,-0.0310272518545389,
FACE_18,face,0.5287831425666809,0.25517138838768,-0.0277176834642887,
FACE_19,face,0.5195603370666504,0.1964567154645919,-0.0355374999344348,
FACE_20,face,0.5136314630508423,0.1992953419685363,-0.02702665515244,
FACE_21,face,0.4219029545783996,0.157804325222969,0.0662379711866378,
FACE_22,face,0.4787456393241882,0.1718314588069915,0.0135247148573398,
FACE_23,face,0.4711800515651703,0.1738433837890625,0.0138459969311952,
FACE_24,face,0.4634315371513366,0.1752650141716003,0.0157531313598155,
FACE_25,face,0.4516250491142273,0.1735567152500152,0.0217842888087034,
FACE_26,face,0.484675794839859,0.1692184507846832,0.0147493500262498,
FACE_27,face,0.4636723101139068,0.1562418043613433,0.0161600988358259,
FACE_28,face,0.4727250635623932,0.1557886749505996,0.0167436189949512,
FACE_29,face,0.455602765083313,0.1583048701286316,0.0176300127059221,
FACE_30,face,0.4507728815078735,0.1615395247936248,0.0198246967047452,
FACE_31,face,0.446634292602539,0.1792608797550201,0.023406583815813,
FACE_32,face,0.5003044009208679,0.2725687026977539,-0.0248971227556467,
FACE_33,face,0.4510442614555359,0.1697722971439361,0.0246462039649486,
FACE_34,face,0.4239861071109772,0.1887517124414444,0.054731260985136,
FACE_35,face,0.4376153945922851,0.1761954575777053,0.032148852944374,
FACE_36,face,0.4800061285495758,0.2007155865430832,-0.0046505872160196,
FACE_37,face,0.5097198486328125,0.2199565172195434,-0.0293698366731405,
FACE_38,face,0.5128167867660522,0.229208618402481,-0.0284861288964748,
FACE_39,face,0.5013847947120667,0.225543275475502,-0.0258438680320978,
FACE_40,face,0.4969158172607422,0.2316908985376358,-0.021129336208105,
FACE_41,face,0.5066530108451843,0.2316961288452148,-0.0254574343562126,
FACE_42,face,0.5023013353347778,0.2350359559059143,-0.0208847150206565,
FACE_43,face,0.491884171962738,0.2474477291107177,-0.0152943031862378,
FACE_44,face,0.5129900574684143,0.1918418705463409,-0.0370860733091831,
FACE_45,face,0.5106597542762756,0.1851686239242553,-0.0369352102279663,
FACE_46,face,0.4395327568054199,0.1583202481269836,0.0249791406095027,
FACE_47,face,0.4918676018714905,0.1822957992553711,0.0012523549376055,
FACE_48,face,0.4960663318634033,0.1978358775377273,-0.0201175790280103,
FACE_49,face,0.4945597052574157,0.1952891498804092,-0.0169364623725414,
FACE_50,face,0.4564107060432434,0.2057438939809799,0.0038844095543026,
FACE_51,face,0.5093808174133301,0.1788205802440643,-0.0299410354346036,
FACE_52,face,0.4567435085773468,0.1487641930580139,0.0158849135041236,
FACE_53,face,0.4461689591407776,0.1525057405233383,0.0204137116670608,
FACE_54,face,0.4288753569126129,0.1414206624031067,0.0585025995969772,
FACE_55,face,0.4921149015426636,0.1497846394777298,0.0086059672757983,
FACE_56,face,0.4807687699794769,0.1571881473064422,0.0181152187287807,
FACE_57,face,0.4849470257759094,0.2408754378557205,-0.0114237125962972,
FACE_58,face,0.4429737031459808,0.2643072307109833,0.0414314828813076,
FACE_59,face,0.5028267502784729,0.2013289481401443,-0.0190373845398426,
FACE_60,face,0.5091214776039124,0.2026691287755966,-0.0213293563574552,
FACE_61,face,0.4948211014270782,0.2422914505004882,-0.0119055649265646,
FACE_62,face,0.4971439242362976,0.2416397780179977,-0.0136335026472806,
FACE_63,face,0.4415035247802734,0.1489124298095703,0.0260035172104835,
FACE_64,face,0.4965062141418457,0.202272281050682,-0.0177574027329683,
FACE_65,face,0.4714708924293518,0.1474876701831817,0.0120136719197034,
FACE_66,face,0.4689297974109649,0.1422416567802429,0.0132916020229458,
FACE_67,face,0.4588964283466339,0.1169981434941291,0.0391593836247921,
FACE_68,face,0.4381359815597534,0.1445151567459106,0.0404244512319564,
FACE_69,face,0.4669346809387207,0.1274937093257904,0.0263665933161973,
